IBRA,lon,lat,sitetype,labcode,RCage,RCerr,RClo,RCup,occup,calc,material
Sydney Basin,150.28,-35.17,rockshelter,ANU-8436,420,60,360,480,Y,0,scattered charcoal
Sydney Basin,150.28,-35.17,rockshelter,ANU-8437,430,70,360,500,Y,0,charcoal from hearth
Sydney Basin,150.28,-35.17,rockshelter,ANU-8438,550,70,480,620,Y,0,charcoal from hearth
Sydney Basin,150.34,-32.3,rockshelter,SUA-1671,2720,120,2600,2840,Y,0,scattered charcoal
Sydney Basin,150.35,-32.3,rockshelter,SUA-1672,2169,90,2079,2259,Y,0,charcoal
Sydney Basin,150.32,-32.38,rockshelter,SUA-1670,810,110,700,920,Y,0,scattered charcoal
Sydney Basin,150.32,-32.38,rockshelter,SUA-1669,3710,210,3500,3920,Y,0,scattered charcoal
Sydney Basin,151.16,-33.93,midden,Wk-11291,3901,53,3848,3954,Y,0,marine shell
Sydney Basin,151.16,-33.93,midden,Wk-11004,4328,50,4278,4378,Y,0,marine shell (Anadara trapezia)
Sydney Basin,150.66,-33.66,rockshelter,SUA-1393,1240,90,1150,1330,U,0,charcoal
Sydney Basin,150.66,-33.66,rockshelter,SUA-1307,1580,190,1390,1770,Y,0,charcoal
Sydney Basin,150.66,-33.66,rockshelter,Beta-1212,1790,115,1675,1905,Y,0,charcoal
Sydney Basin,150.66,-33.66,rockshelter,Beta-1213,1840,70,1770,1910,Y,0,charcoal
Sydney Basin,150.66,-33.66,rockshelter,Beta-1210,2235,120,2115,2355,Y,0,charcoal
Sydney Basin,150.66,-33.66,rockshelter,Beta-1211,4140,180,3960,4320,Y,0,charcoal
Sydney Basin,150.66,-33.66,rockshelter,SUA-1398,7860,220,7640,8080,Y,0,charcoal
Sydney Basin,150.66,-33.66,rockshelter,Beta-1209,12980,480,12500,13460,Y,0,charcoal
Sydney Basin,150.66,-33.66,rockshelter,Beta-12423,14700,250,14450,14950,U,0,charcoal
Sydney Basin,150.37,-33.73,rockshelter,SUA-155,980,70,910,1050,Y,0,charcoal
Sydney Basin,150.37,-33.73,rockshelter,SUA-157,1060,115,945,1175,y,0,charcoal
Sydney Basin,150.37,-33.73,rockshelter,SUA-229,1100,80,1020,1180,Y,0,charcoal
Sydney Basin,150.37,-33.73,rockshelter,SUA-194,14534,300,14234,14834,Y,0,charcoal
Sydney Basin,150.37,-33.73,rockshelter,SUA-158,22240,100,22140,22340,U,0,charcoal
Sydney Basin,150.64,-33.75,rockshelter,ANU-11,2300,100,2200,2400,Y,0,charcoal
Sydney Basin,150.64,-33.75,rockshelter,ANU-10,3650,100,3550,3750,Y,0,charcoal
Sydney Basin,150.32,-33.72,hearth,GaK-1849,17050,600,16450,17650,Y,0,charcoal
Sydney Basin,150.25,-30.98,open site,SUA-915,19300,500,18800,19800,U,0,charcoal
Sydney Basin,151.12,-33.19,rockshelter,SUA-1124,780,80,700,860,Y,0,charcoal
Sydney Basin,151.12,-33.19,rockshelter,SUA-2165,2480,60,2420,2540,U,0,charcoal
Sydney Basin,151.12,-33.19,rockshelter,SUA-2412,7950,80,7870,8030,U,0,charcoal
Sydney Basin,151.12,-33.19,rockshelter,SUA-1125,8885,120,8765,9005,U,0,charcoal
Sydney Basin,151.12,-33.19,rockshelter,SUA-1206,9755,115,9640,9870,Y,0,charcoal
Sydney Basin,151.12,-33.19,rockshelter,SUA-931,11050,125,10925,11175,Y,0,charcoal
Sydney Basin,150.33,-33.73,rockshelter,SUA-15,12550,145,12405,12695,Y,0,charcoal
Sydney Basin,150.33,-33.73,rockshelter,Not given,530,80,450,610,Y,0,charcoal
Sydney Basin,151.07,-32.78,rockshelter,ANU-121,630,60,570,690,U,0,charcoal
Sydney Basin,151.07,-32.78,rockshelter,ANU-122,1410,90,1320,1500,Y,0,charcoal
Sydney Basin,150.92,-34.32,midden,Beta-59943,510,50,460,560,Y,0,marine shell (Dicatgaus orbita)
Sydney Basin,150.92,-34.32,midden,Beta-56983,810,50,760,860,Y,0,charcoal
Sydney Basin,150.92,-34.32,midden,Beta-59944,1950,60,1890,2010,Y,0,marine shell (Dicatgaus orbita)
Sydney Basin,150.92,-34.32,midden,SUA-2872,1970,60,1910,2030,Y,0,marine shell (Anadara trapezia)
Sydney Basin,150.92,-34.32,midden,Beta-56984,1980,100,1880,2080,Y,0,charcoal
Sydney Basin,151.22,-34.01,midden,Beta-165767,200,50,150,250,Y,0,charcoal
Sydney Basin,151.22,-34.01,midden,Beta-165769,760,40,720,800,Y,0,charcoal
Sydney Basin,151.22,-34.01,midden,Beta-165770,770,40,730,810,Y,0,charcoal
Sydney Basin,151.22,-34.01,midden,Beta-165772,930,40,890,970,Y,0,charcoal
Sydney Basin,151.22,-34.01,midden,Beta-165768,1670,40,1630,1710,Y,0,charcoal
Sydney Basin,151.22,-34.01,midden,Beta-165771,1840,40,1800,1880,Y,0,charcoal
Sydney Basin,150.97,-34.05,rockshelter,SUA-2255,480,70,410,550,Y,0,charcoal
Sydney Basin,150.97,-34.05,rockshelter,SUA-2258,980,50,930,1030,Y,0,charcoal
Sydney Basin,150.97,-34.05,rockshelter,SUA-2256,1520,70,1450,1590,Y,0,charcoal
Sydney Basin,150.97,-34.05,rockshelter,SUA-2257,2220,70,2150,2290,Y,0,charcoal
Sydney Basin,150.97,-34.05,rockshelter,SUA-2259,2690,50,2640,2740,Y,0,charcoal
Sydney Basin,150.97,-34.05,open site,Beta-27197,2160,80,2080,2240,Y,0,charcoal
Sydney Basin,151.07,-33.17,rockshelter,SUA-1841,800,130,670,930,U,0,charcoal
Sydney Basin,151.07,-33.17,rockshelter,SUA-1840,2340,110,2230,2450,U,0,charcoal
Sydney Basin,151.27,-33.86,rockshelter,Wk-2481,660,60,600,720,Y,0,marine shell
Sydney Basin,151.27,-33.86,rockshelter,Wk-2083,1170,60,1110,1230,Y,0,charcoal
Sydney Basin,151.27,-33.86,rockshelter,Wk-2082,1730,50,1680,1780,Y,0,marine shell
Sydney Basin,150.4,-35.53,midden,NSW-83,720,100,620,820,U,0,charcoal
Sydney Basin,150.4,-35.53,midden,NSW-71,3500,150,3350,3650,Y,0,charcoal
Sydney Basin,151.12,-33.19,rockshelter,SUA-1504,1150,90,1060,1240,U,0,charcoal
Sydney Basin,151.12,-33.19,rockshelter,SUA-1503,2230,80,2150,2310,Y,0,charcoal
Sydney Basin,151.12,-33.19,rockshelter,SUA-1505,3150,100,3050,3250,U,0,charcoal
Sydney Basin,151.12,-33.19,rockshelter,SUA-2411,5370,60,5310,5430,U,0,charcoal
Sydney Basin,151.12,-33.19,rockshelter,SUA-1506,8460,120,8340,8580,U,0,charcoal
Sydney Basin,151.12,-33.19,rockshelter,SUA-2410,8730,70,8660,8800,Y,0,charcoal
Sydney Basin,151.02,-32.47,open site (hearth),Beta-48519,260,60,200,320,Y,0,charcoal
Sydney Basin,151.02,-32.47,open site (hearth),Beta-48521,680,50,630,730,Y,0,charcoal
Sydney Basin,151.02,-32.47,open site (hearth),Beta-48520,700,60,640,760,Y,0,charcoal
Sydney Basin,151.3,-33.71,burial,CAMS-120202,3480,30,3450,3510,Y,0,human bone
Sydney Basin,151.57,-33.28,midden,SUA-1167,1040,115,925,1155,U,0,charcoal
Sydney Basin,151.57,-33.28,midden,SUA-1167,1250,120,1130,1370,U,0,marine shell
Sydney Basin,151.57,-33.28,midden,SUA-1166,1520,120,1400,1640,U,0,marine shell
Sydney Basin,151.57,-33.28,midden,SUA-1166,1860,205,1655,2065,U,0,charcoal
Sydney Basin,150.27,-35.72,midden,ANU-3712a,380,65,315,445,Y,0,marine shell (Nerita shell)
Sydney Basin,150.27,-35.72,midden,ANU-3712b,470,65,405,535,Y,0,marine shell (Nerita shell)
Sydney Basin,150.27,-35.72,midden,ANU-3711,520,90,430,610,Y,0,charcoal
Sydney Basin,150.27,-35.72,midden,ANU-3713,600,100,500,700,Y,0,charcoal
Sydney Basin,150.27,-35.72,midden,ANU-3714,640,75,565,715,Y,0,marine shell (Nerita shell)
Sydney Basin,150.27,-35.72,midden,ANU-3715,900,75,825,975,Y,0,charcoal
Sydney Basin,150.27,-35.72,midden,ANU-3716,1320,70,1250,1390,Y,0,marine shell (Nerita shell)
Sydney Basin,150.27,-35.72,midden,ANU-3717,1400,70,1330,1470,Y,0,marine shell (Turban sp.)
Sydney Basin,150.41,-35.52,midden,Beta-2758,150,106,43.69854187,256.3014581,Y,0,marine shell
Sydney Basin,150.41,-35.52,midden,SUA-1699,650,114,535.9824575,764.0175425,Y,0,marine shell
Sydney Basin,150.41,-35.52,midden,SUA-1700,1610,122,1487.934444,1732.065556,Y,0,marine shell
Sydney Basin,151.33,-32.82,hearth,Wk-27731,1145,57,1088,1202,Y,0,charcoal
Sydney Basin,151.13,-33.2,rockshelter,Beta-81626,350,40,310,390,U,0,charcoal
Sydney Basin,150.93,-33.69,open site,Beta-66450,4060,90,3970,4150,Y,0,charcoal
Sydney Basin,151.76,-32.92,open,Wk-26882,2055,30,2025,2085,Y,0,charcoal
Sydney Basin,151.76,-32.92,open,Wk-26883,5812,31,5781,5843,Y,0,charcoal
Sydney Basin,151.1,-32.86,hearth,Beta-39465,1890,60,1830,1950,Y,0,charcoal
Sydney Basin,151.64,-33.11,burial,Beta-36138,1200,60,1140,1260,Y,0,marine shell
Sydney Basin,150.14,-35.7,open site,ANU-9377,1590,170,1420,1760,U,0,charcoal
Sydney Basin,150.14,-35.7,open site,ANU-9378,2140,210,1930,2350,U,0,charcoal
Sydney Basin,150.14,-35.7,open site,ANU-9762,4000,80,3920,4080,Y,0,scattered charcoal
Sydney Basin,150.93,-33.69,open site,Beta-66451,1070,60,1010,1130,Y,0,charcoal
Sydney Basin,151.3,-32.77,open site,Beta-32614,2820,50,2770,2870,Y,0,charcoal
Sydney Basin,151.21,-34.04,open site,Not given,5670,70,5600,5740,N,0,Peat
Sydney Basin,151.25,-33.98,hearth,Beta-87211,7860,50,7810,7910,Y,0,charcoal
Sydney Basin,150.3,-35.1,open site,ANU-8435,1050,80,970,1130,U,0,organic swamp deposit
Sydney Basin,150.3,-35.1,open site,ANU-8977,1310,170,1140,1480,U,0,charcoal
Sydney Basin,151.18,-34.03,midden,Not given,3680,110,3570,3790,Y,0,charcoal
Sydney Basin,151.12,-33.19,rockshelter,SUA-933,1365,80,1285,1445,U,0,charcoal
Sydney Basin,150.36,-34.26,rockshelter,Beta-65747,230,50,180,280,Y,0,charcoal
Sydney Basin,150.36,-34.26,rockshelter,Beta-65748,1790,60,1730,1850,Y,0,charcoal
Sydney Basin,150.36,-34.26,rockshelter,Beta-65749,2230,80,2150,2310,Y,0,charcoal
Sydney Basin,150.36,-34.26,rockshelter,Beta-65750,7550,120,7430,7670,Y,0,charcoal
Sydney Basin,150.93,-33.69,open site,Beta-66452,4690,80,4610,4770,Y,0,charcoal
Sydney Basin,150.93,-33.69,open site,Wk-16226,337,37,300,374,Y,0,charcoal
Sydney Basin,150.93,-33.69,open site,Wk-16228,347,44,303,391,Y,0,charcoal
Sydney Basin,150.93,-33.69,open site,Wk-16230,592,38,554,630,Y,0,charcoal
Sydney Basin,150.93,-33.69,open site,Wk-16229,3010,39,2971,3049,Y,0,charcoal
Sydney Basin,150.93,-33.69,open site,Wk-16227,3351,40,3311,3391,Y,0,charcoal
Sydney Basin,150.93,-33.69,open site,Wk-16231,8536,53,8483,8589,N,0,charcoal
Sydney Basin,150.28,-35.17,rockshelter,ANU-8423,690,70,620,760,Y,0,charcoal from hearth
Sydney Basin,150.28,-35.17,rockshelter,ANU-8981,1530,70,1460,1600,Y,0,scattered charcoal
Sydney Basin,150.28,-35.17,rockshelter,ANU-9376,2140,80,2060,2220,U,0,charcoal
Sydney Basin,151.27,-33.87,open site,Wk-27466,1265,30,1235,1295,Y,0,charcoal
Sydney Basin,151.01,-33.82,open site,Wk-17436,3270,35,3235,3305,Y,0,charcoal
Sydney Basin,151.01,-33.82,open site,Wk-17432,4433,35,4398,4468,Y,0,charcoal
Sydney Basin,151.01,-33.82,open site,Wk-17434,6078,54,6024,6132,Y,0,charcoal
Sydney Basin,151.01,-33.82,open site,Wk-17433,8206,51,8155,8257,Y,0,charcoal
Sydney Basin,151.01,-33.82,open site,Wk-17435,30735,407,30328,31142,U,0,charcoal
Sydney Basin,151.12,-33.19,rockshelter,SUA-934,2030,90,1940,2120,U,0,charcoal
Sydney Basin,150.21,-35.12,rockshelter,ANU-741,1695,90,1605,1785,Y,0,charcoal
Sydney Basin,150.21,-35.12,rockshelter,ANU-742,3090,95,2995,3185,Y,0,charcoal
Sydney Basin,150.21,-35.12,rockshelter,ANU-743,3770,150,3620,3920,Y,0,charcoal
Sydney Basin,150.21,-35.12,rockshelter,ANU-744,2780,115,2665,2895,Y,0,charcoal
Sydney Basin,150.88,-33.72,open site,SUA-2239,650,100,550,750,Y,0,charcoal
Sydney Basin,151.24,-32.36,open site,Beta-17271,13020,360,12660,13380,Y,0,charcoal
Sydney Basin,151.24,-32.36,open site,Beta-17009,34590,650,33940,35240,Y,0,charcoal
Sydney Basin,150.56,-32.33,rockshelter,ANU-125,530,80,450,610,Y,0,charcoal
Sydney Basin,150.56,-32.33,rockshelter,ANU-12,1300,100,1200,1400,Y,0,charcoal
Sydney Basin,151.18,-33.92,open site,Wk-8616,5520,70,5450,5590,Y,0,marine (Dugong bone)
Sydney Basin,150.87,-34.59,midden,GaK-337,140,100,40,240,Y,0,charcoal
Sydney Basin,151.3,-33.66,midden,Wk-15701,598,42,556,640,Y,0,scattered Anadara sp
Sydney Basin,151.3,-33.66,midden,Wk-15698,3545,40,3505,3585,Y,0,scattered Anadara sp
Sydney Basin,151.3,-33.66,midden,Wk-15700,4396,41,4355,4437,Y,0,scattered Anadara sp
Sydney Basin,151.3,-33.66,midden,Wk-15699,4404,42,4362,4446,Y,0,scattered Anadara sp
Sydney Basin,150.58,-33.67,rockshelter,SUA-204,615,80,535,695,Y,0,charcoal
Sydney Basin,150.58,-33.67,rockshelter,SUA-17,2930,165,2765,3095,Y,0,charcoal
Sydney Basin,150.58,-33.67,rockshelter,SUA-18,6050,170,5880,6220,Y,0,charcoal
Sydney Basin,150.58,-33.67,rockshelter,SUA-205,7420,140,7280,7560,U,0,charcoal
Sydney Basin,150.58,-33.67,rockshelter,SUA-206,7440,140,7300,7580,U,0,charcoal
Sydney Basin,150.58,-33.67,rockshelter,SUA-285,8730,330,8400,9060,U,0,charcoal
Sydney Basin,150.6,-35.1,midden,ANU-1985,710,70,640,780,Y,0,charcoal
Sydney Basin,151.56,-33.03,artefact scatter,Wk-26008,433,35,398,468,N,0,wood
Sydney Basin,151.14,-33.81,rockshelter,Wk-3742,4040,80,3960,4120,Y,0,marine shell (mud oyster)
Sydney Basin,151.14,-33.81,rockshelter,Wk-3741,4120,70,4050,4190,Y,0,marine shell (rock oyster)
Sydney Basin,151.14,-33.81,rockshelter,Wk-4196,4170,40,4130,4210,Y,0,marine shell (rock oyster)
Sydney Basin,151.19,-33.2,rockshelter,SUA-2171,3560,80,3480,3640,U,0,charcoal
Sydney Basin,151.66,-33.09,midden,SUA-514,1235,95,1140,1330,Y,0,charcoal
Sydney Basin,151.66,-33.09,midden,SUA-238/C,1965,90,1875,2055,Y,0,charcoal
Sydney Basin,151.66,-33.09,burial in midden,SUA-322,2080,100,1980,2180,Y,0,charcoal
Sydney Basin,151.66,-33.09,midden,SUA-238/S2,2480,90,2390,2570,Y,0,marine (Anadara sp.)
Sydney Basin,151.66,-33.09,midden,SUA-238/S1,2690,90,2600,2780,U,0,marine (oyster shell)
Sydney Basin,151.66,-33.09,midden,SUA-1720,2720,90,2630,2810,Y,0,charcoal
Sydney Basin,151.66,-33.09,midden,SUA-421,7530,140,7390,7670,Y,0,charcoal
Sydney Basin,151.66,-33.09,midden,SUA-150,7870,115,7755,7985,Y,0,charcoal
Sydney Basin,151.15,-33.93,midden,Beta-222748,430,40,390,470,Y,0,marine shell (Anadara trapezia)
Sydney Basin,151.15,-33.93,midden,Beta-222746,3390,50,3340,3440,Y,0,marine shell (Anadara trapezia)
Sydney Basin,151.15,-33.93,midden,Beta-222750,3510,60,3450,3570,Y,0,marine shell (Anadara trapezia)
Sydney Basin,151.15,-33.93,midden,Beta-222749,4180,60,4120,4240,Y,0,marine shell (Anadara trapezia)
Sydney Basin,151.15,-33.93,hearth,Wk-16167,9376,61,9315,9437,Y,0,charcoal
Sydney Basin,151.14,-33.13,rockshelter,Beta-81627,490,50,440,540,U,0,charcoal
Sydney Basin,151.18,-33.15,rockshelter,Wk-14266,2026,46,1980,2072,Y,0,charcoal
Sydney Basin,151.18,-33.14,rockshelter,SUA-2174,8430,130,8300,8560,U,0,charcoal
Sydney Basin,151.18,-33.37,rockshelter,ANU-8134,1220,120,1100,1340,Y,0,charcoal
Sydney Basin,151.18,-33.37,rockshelter,ANU-8133,1540,60,1480,1600,Y,0,charcoal
Sydney Basin,151.18,-33.37,rockshelter,ANU-8135,1860,70,1790,1930,Y,0,charcoal
Sydney Basin,151.18,-33.37,rockshelter,ANU-8132,4030,140,3890,4170,Y,0,charcoal
Sydney Basin,151.14,-33.16,rockshelter,Beta-81628,560,50,510,610,U,0,charcoal
Sydney Basin,150.31,-33.64,rockshelter,Not given,3360,100,3260,3460,Y,0,charcoal
Sydney Basin,150.31,-33.64,rockshelter,GaK-3448,12200,350,11850,12550,U,0,charcoal
Sydney Basin,151.05,-32.6,open site,Beta-255804,200,40,160,240,U,0,charcoal
Sydney Basin,151.05,-32.6,open site,Beta-255806,760,40,720,800,U,0,charcoal
Sydney Basin,151.05,-32.6,open site,Beta-255808,850,40,810,890,U,0,charcoal
Sydney Basin,151.05,-32.6,open site,Beta-255807,870,40,830,910,U,0,charcoal
Sydney Basin,151.05,-32.6,open site,Beta-255805,1130,40,1090,1170,U,0,charcoal
Sydney Basin,151.05,-32.6,open site,Beta-255810,2430,40,2390,2470,U,0,charcoal
Sydney Basin,151.05,-32.6,open site,Beta-255809,2450,40,2410,2490,U,0,charcoal
Sydney Basin,151.12,-34.14,midden,ANU-176,560,130,430,690,U,0,charcoal
Sydney Basin,151.12,-34.14,midden,ANU-177,840,160,680,1000,Y,0,charcoal
Sydney Basin,151.12,-34.14,midden,ANU-178,1800,100,1700,1900,U,0,charcoal
Sydney Basin,150.86,-32.32,hearth,Wk-14625,949,35,914,984,U,0,charcoal
Sydney Basin,150.86,-32.32,hearth,WK-14624,743,38,705,781,Y,0,charcoal
Sydney Basin,150.86,-32.32,hearth,Wk-14618,1116,39,1077,1155,Y,0,charcoal
Sydney Basin,150.86,-32.32,hearth,Wk-14623,199,37,162,236,Y,0,charcoal
Sydney Basin,150.86,-32.32,hearth,Wk-14619,1109,39,1070,1148,Y,0,charcoal
Sydney Basin,150.86,-32.32,hearth,Wk-14617,1248,36,1212,1284,Y,0,charcoal
Sydney Basin,150.86,-32.32,hearth,Wk-14622,1256,37,1219,1293,Y,0,charcoal
Sydney Basin,150.86,-32.32,hearth,Wk-14621,1391,43,1348,1434,Y,0,charcoal
Sydney Basin,150.86,-32.32,hearth,Wk-14620,265,41,224,306,Y,0,charcoal
Sydney Basin,150.86,-32.32,hearth,Wk-14626,852,36,816,888,Y,0,charcoal
Sydney Basin,151.14,-33.22,rockshelter,SUA-2167,5230,70,5160,5300,U,0,charcoal
Sydney Basin,150.52,-34.57,open site,Wk-13332,1611,49,1562,1660,Y,0,charcoal
Sydney Basin,150.52,-34.57,open site,Wk-13333,1652,40,1612,1692,Y,0,charcoal
Sydney Basin,150.52,-34.57,open site,Wk-13331,1685,33,1652,1718,Y,0,charcoal
Sydney Basin,150.52,-34.57,open site,Wk-13294,233,39,194,272,Y,0,charcoal
Sydney Basin,150.52,-34.57,open site,Wk-13291,266,35,231,301,Y,0,charred wood
Sydney Basin,150.52,-34.57,open site,Wk-13293,337,41,296,378,Y,0,charcoal
Sydney Basin,150.52,-34.57,open site,Wk-13292,2143,43,2100,2186,Y,0,charcoal
Sydney Basin,150.52,-34.57,open site,Wk-13295,2757,44,2713,2801,Y,0,charcoal
Sydney Basin,150.81,-34.53,midden,ANU-5914,370,239,131,609,Y,0,charcoal
Sydney Basin,150.81,-34.53,midden,ANU-5913,3360,90,3270,3450,Y,0,charcoal
Sydney Basin,151.13,-33.19,rockshelter,SUA-2168,400,60,340,460,U,0,charcoal
Sydney Basin,151.63,-32.83,open site,Beta-119475,2130,70,2060,2200,Y,0,charcoal
Sydney Basin,150.9,-32.98,rockshelter,ANU-6058,540,180,360,720,Y,0,charcoal
Sydney Basin,150.9,-32.98,rockshelter,ANU-6216,1530,110,1420,1640,Y,0,charcoal
Sydney Basin,150.9,-32.98,rockshelter,ANU-6054,1950,400,1550,2350,Y,0,charcoal
Sydney Basin,150.9,-32.98,rockshelter,ANU-6215,2750,400,2350,3150,Y,0,charcoal
Sydney Basin,150.9,-32.98,rockshelter,ANU-6056,2840,240,2600,3080,Y,0,charcoal
Sydney Basin,150.9,-32.98,rockshelter,ANU-6055,4590,300,4290,4890,Y,0,charcoal
Sydney Basin,150.9,-32.98,rockshelter,ANU-6059,5980,290,5690,6270,Y,0,charcoal
Sydney Basin,151.1,-34.05,rockshelter with midden deposits,ANU-308,2230,70,2160,2300,U,0,charcoal
Sydney Basin,151.1,-34.05,rockshelter with midden deposits,ANU-307,2500,85,2415,2585,U,0,charcoal
Sydney Basin,151.1,-34.05,rockshelter with midden deposits,ANU-175,2670,85,2585,2755,Y,0,charcoal
Sydney Basin ,151.151,-34.084,midden,Wk-22761,3643,32,3611,3675,Y,0,charcoal
Sydney Basin ,151.151,-34.084,midden,Wk-22762,3662,53,3609,3715,Y,0,charcoal
Sydney Basin ,151.151,-34.084,midden,Wk-22764,4151,32,4119,4183,Y,0,charcoal
Sydney Basin ,151.151,-34.084,midden,Wk-22763,4563,33,4530,4596,Y,0,charcoal
Sydney Basin ,151.05,-32.89,rockshelter,SUA-756,2495,105,2390,2600,Y,0,charcoal
Sydney Basin ,151.151,-34.084,midden,Wk-15437,1034,35,999,1069,Y,0,marine shell (Anadara trapezia)
Sydney Basin ,151.151,-34.084,midden,Wk-15436,2024,36,1988,2060,Y,0,marine shell (Anadara trapezia)
Sydney Basin ,150.97,-33.36,rockshelter,SUA-387,2370,100,2270,2470,Y,0,charcoal
Sydney Basin ,150.97,-33.36,rockshelter,SUA-676,3650,130,3520,3780,Y,0,scattered charcoal
Sydney Basin ,150.97,-33.36,rockshelter,SUA-564,5820,110,5710,5930,Y,0,charcoal
Sydney Basin ,151.14,-32.95,rockshelter,ANU-648,2350,85,2265,2435,Y,0,charcoal
Tasmanian Central Highlands,146.08,-41.7,rockshelter,Beta-52811,780,50,730,830,Y,0,charcoal
Tasmanian Central Highlands,146.08,-41.7,rockshelter,Beta-52812,3310,50,3260,3360,Y,0,charcoal
Tasmanian Central Highlands,146.08,-41.7,rockshelter,Beta-52808,10370,120,10250,10490,Y,0,charcoal
Tasmanian Central Highlands,146.08,-41.7,rockshelter,Beta-52813,10380,120,10260,10500,Y,0,charcoal
Tasmanian Central Highlands,146.08,-41.7,rockshelter,Beta-53222,12930,150,12780,13080,Y,0,charcoal
Tasmanian Central Highlands,146.08,-41.7,rockshelter,Beta-53221,13970,150,13820,14120,Y,0,charcoal
Tasmanian Central Highlands,146.08,-41.7,rockshelter,Beta-53220,14250,220,14030,14470,Y,0,charcoal
Tasmanian Central Highlands,146.08,-41.7,rockshelter,Beta-52810,18610,360,18250,18970,Y,0,charcoal
Tasmanian Central Highlands,146.08,-41.7,rockshelter,Beta-51435,21940,620,21320,22560,Y,0,charcoal
Tasmanian Central Highlands,146.08,-41.7,rockshelter,Beta-61608/CAMS-6050,27780,230,27550,28010,Y,0,charcoal
Tasmanian Central Highlands,146.08,-41.7,rockshelter,Beta-68159/CAMS-10271,33260,420,32840,33680,U,0,charcoal
Tasmanian Central Highlands,146.08,-41.7,rockshelter,Beta-68158/CAMS-10270,33850,450,33400,34300,U,0,charcoal
Tasmanian Central Highlands,146.08,-41.7,rockshelter,Beta-68160/CAMS-10272,39970,950,39020,40920,N,0,charcoal
Tasmanian Central Highlands,146.11,-41.85,rockshelter,Beta-4758,3380,100,3280,3480,Y,0,charcoal
Tasmanian Central Highlands,146.11,-41.85,rockshelter,Beta-52438,3480,90,3390,3570,,0,charcoal
Tasmanian Central Highlands,146.11,-41.85,rockshelter,Beta-4757,9760,720,9040,10480,Y,0,charcoal
Tasmanian Central Highlands,146.11,-41.85,rockshelter,Beta-8466,10600,450,10150,11050,,0,charcoal
Tasmanian Central Highlands,146.11,-41.85,rockshelter,Beta-52439,10910,110,10800,11020,,0,charcoal
Tasmanian Northern Slopes,145.51,-40.86,rockshelter with midden deposits,V-87,450,105,345,555,U,0,charcoal
Tasmanian Northern Slopes,145.51,-40.86,rockshelter with midden deposits,V-52,2420,60,2360,2480,U,0,charcoal
Tasmanian Northern Slopes,145.51,-40.86,rockshelter with midden deposits,V-88,3430,95,3335,3525,U,0,charcoal
Tasmanian Northern Slopes,145.51,-40.86,rockshelter with midden deposits,V-89,5425,135,5290,5560,Y,0,charcoal
Tasmanian Northern Slopes,145.51,-40.86,rockshelter with midden deposits,V-83,3795,100,3695,3895,Y,0,charcoal
Tasmanian Northern Slopes,145.51,-40.86,rockshelter with midden deposits,V-84,5075,250,4825,5325,U,0,charcoal
Tasmanian Northern Slopes,145.51,-40.86,rockshelter with midden deposits,V-85,6145,200,5945,6345,U,0,charcoal
Tasmanian Northern Slopes,145.51,-40.86,rockshelter with midden deposits,V-51,6445,80,6365,6525,U,0,charcoal
Tasmanian Northern Slopes,145.51,-40.86,rockshelter with midden deposits,V-97,6745,145,6600,6890,Y,0,charcoal
Tasmanian Northern Slopes,145.51,-40.86,rockshelter with midden deposits,V-86,7465,150,7315,7615,Y,0,charcoal
Tasmanian Northern Slopes,145.51,-40.86,rockshelter with midden deposits,GXO-266,8120,165,7955,8285,Y,0,wood charcoal
Tasmanian South East,147.33,-42.98,midden,SUA-599,3875,160,3715,4035,Y,0,charcoal
Tasmanian South East,147.3,-43.15,midden,ANU-6940,7550,90,7460,7640,Y,0,marine shell
Tasmanian South East,147.65,-42.88,midden,Beta-2854,5760,130,5630,5890,Y,0,charcoal
Tasmanian South East,147.65,-42.88,midden,Beta-2855,7560,70,7490,7630,Y,0,charcoal
Tasmanian South East,147.35,-43.12,midden,ANU-6945,880,60,820,940,Y,0,marine shell
Tasmanian South East,147.25,-43.44,midden,ANU-6946,1100,60,1040,1160,Y,0,charcoal
Tasmanian South East,147.27,-43.05,burial,SUA-1018B,445,80,365,525,Y,0,bone (collagen)
Tasmanian South East,147.27,-43.05,burial,SUA-1018A,515,135,380,650,Y,0,bone (apatite)
Tasmanian South East,147.27,-43.05,burial,SUA-626,840,95,745,935,Y,0,charcoal
Tasmanian South East,147.27,-43.05,midden,ANU-6939,1090,90,1000,1180,Y,0,charcoal
Tasmanian South East,147.35,-43.12,midden,ANU-6937,5410,70,5340,5480,Y,0,marine shell
Tasmanian South East,147.35,-43.12,midden,ANU-6943,5420,80,5340,5500,Y,0,marine shell
Tasmanian South East,147.26,-42.77,midden,SUA-308,1960,105,1855,2065,Y,0,charcoal
Tasmanian South East,147.26,-42.77,midden,SUA-306,5800,130,5670,5930,Y,0,charcoal
Tasmanian South East,147.26,-42.77,midden,SUA-307,6010,90,5920,6100,Y,0,marine
Tasmanian South East,147.32,-42.87,midden,ANU-6938,5410,220,5190,5630,Y,0,charcoal
Tasmanian South East,147.33,-42.87,midden,Beta-5099,5210,110,5100,5320,Y,0,charcoal
Tasmanian South East,147.41,-43,midden,Not given,2080,100,1980,2180,Y,0,charcoal
Tasmanian South East,147.33,-43.36,midden,ANU-6941,3980,70,3910,4050,Y,0,marine shell
